amount,transaction_hour,failed_attempts,account_age_days,velocity_1h,location_change,new_device,device_trust,merchant_risk,channel,is_fraud
589.54,11,0,2137,2,0,0,0.6575,0.1491,Card,0
2039.48,16,1,3203,3,0,0,0.9147,0.2258,Ecommerce,0
208.37,23,0,790,2,0,1,0.933,0.461,Ecommerce,1
5165.44,15,1,558,0,0,0,0.9053,0.1578,UPI,0
1614.49,11,0,2379,3,0,0,0.7477,0.1035,UPI,0
2667.54,6,1,1093,2,1,0,0.1967,0.3104,UPI,0
602.15,18,0,652,0,0,0,0.9099,0.3863,Ecommerce,0
2577.18,12,0,2352,1,0,1,0.5868,0.0155,Ecommerce,0
3367.4,18,1,654,4,0,0,0.6349,0.3028,Ecommerce,0
1400.41,0,0,2917,1,0,0,0.1408,0.2563,Card,0
1402.65,3,1,1093,2,0,0,0.9148,0.238,Card,0
1456.6,3,1,2284,1,1,0,0.8504,0.0697,UPI,0
442.96,16,1,2023,2,0,0,0.7406,0.1562,Card,0
939.26,12,0,2070,0,0,0,0.8006,0.2483,UPI,0
934.35,7,0,1069,2,0,0,0.6835,0.1598,UPI,0
1640.18,7,2,306,1,0,1,0.5355,0.3056,Wallet,0
3133.22,14,0,2240,3,0,0,0.4958,0.4221,Card,0
360.88,23,0,1521,2,0,0,0.8108,0.3295,Card,0
961.74,23,0,3419,4,0,0,0.9327,0.1847,NetBanking,0
5195.4,11,1,3116,3,0,0,0.5189,0.445,NetBanking,0
502.32,16,0,266,5,1,0,0.6813,0.0731,Ecommerce,0
462.5,2,1,1270,0,0,0,0.649,0.3292,Ecommerce,0
1356.17,22,0,1458,4,0,1,0.8775,0.189,NetBanking,0
2661.39,0,0,1337,1,0,0,0.7214,0.1097,Wallet,0
1109.87,8,0,2533,1,0,0,0.8367,0.0455,Card,0
4426.7,17,1,1255,0,0,1,0.6633,0.3934,UPI,0
2696.29,23,0,540,3,0,0,0.8068,0.2072,Card,0
2654.23,4,0,1274,2,0,0,0.9261,0.477,Card,0
1962.2,15,0,2756,2,0,1,0.7044,0.024,Ecommerce,1
12632.6,4,0,1420,3,0,0,0.5508,0.3644,Ecommerce,0
884.11,1,0,1004,3,0,0,0.8874,0.0196,Card,0
133.79,10,0,2708,1,0,1,0.5286,0.034,UPI,0
5910.39,13,0,237,4,0,0,0.8062,0.2414,NetBanking,0
678.18,6,1,1596,3,0,0,0.6063,0.2012,UPI,0
1228.16,23,0,367,4,1,1,0.8501,0.3792,UPI,0
4337.39,14,0,2127,2,0,0,0.6051,0.3703,NetBanking,0
203.9,10,0,3150,2,0,1,0.5673,0.1077,UPI,0
294.64,11,0,1552,1,0,0,0.7369,0.2677,UPI,0
204.11,11,0,3435,1,0,0,0.7465,0.2166,NetBanking,0
476.35,2,1,3059,4,0,1,0.4937,0.1264,NetBanking,0
1739.96,14,0,2549,1,0,0,0.79,0.2718,Card,0
1901.5,18,1,631,0,0,0,0.8337,0.3438,Card,0
1465.7,10,0,121,1,0,0,0.576,0.3401,Card,0
248.79,10,0,436,5,0,1,0.619,0.4071,NetBanking,0
96.97,21,0,1223,3,0,0,0.6604,0.5494,Wallet,0
1161.04,14,0,1431,1,0,0,0.7148,0.2552,Card,0
668.23,7,1,740,4,0,0,0.7038,0.0979,UPI,0
1776.42,0,1,3410,0,0,1,0.6809,0.2788,Ecommerce,0
2291.7,19,0,2602,4,1,0,0.5589,0.2329,UPI,0
1267.95,15,0,2451,2,0,0,0.7618,0.287,UPI,0
2436.07,15,0,2281,4,0,0,0.6958,0.1012,UPI,0
1395.03,6,0,2159,3,0,0,0.7402,0.278,UPI,0
1913.27,4,1,3087,2,0,0,0.8111,0.1325,NetBanking,0
523.27,11,1,1370,0,0,0,0.6928,0.0506,UPI,0
908.15,18,0,497,0,0,0,0.6883,0.2719,UPI,0
1348.32,7,0,1037,1,0,1,0.9288,0.3788,Card,0
2595.55,12,0,806,2,0,0,0.4978,0.2703,Card,0
725.29,23,0,3348,1,0,0,0.8303,0.2727,Card,0
1895.48,5,0,1987,2,0,0,0.9845,0.0688,Ecommerce,0
829.54,5,0,1498,5,0,1,0.6082,0.0973,UPI,0
969.31,5,0,97,4,0,0,0.7879,0.4005,UPI,0
2620.17,21,1,2490,3,0,0,0.4305,0.4705,Card,0
135.27,12,0,2265,1,0,0,0.8356,0.2775,Card,0
281.1,22,1,2837,3,0,0,0.9439,0.1521,Wallet,0
231.3,22,2,464,1,0,0,0.8434,0.2529,UPI,0
94.6,10,0,2303,4,0,1,0.6641,0.1079,UPI,0
537.98,1,0,1271,3,0,0,0.6159,0.1487,NetBanking,0
2408.85,7,0,819,0,1,0,0.813,0.1186,Card,0
